,model_id,estimated_capability,model,Model,date,date_obj
104,m95,1.2196692016916497,phi-2,Phi-2,2023-12-12,2023-12-12
96,m88,1.2136273750788564,gemma-7b,Gemma 7B,2024-02-21,2024-02-21
27,m25,1.1855878165913614,Meta-Llama-3-8B-Instruct,Llama 3-8B,2024-04-18,2024-04-18
6,m104,1.1436224186504091,LLaMA-65B,LLaMA-65B,2023-02-24,2023-02-24
106,m97,1.1163948258510474,Gopher (280B),Gopher (280B),2021-12-08,2021-12-08
5,m103,1.109720094417925,LLaMA-33B,LLaMA-33B,2023-02-27,2023-02-27
105,m96,1.102577108319817,GLaM (MoE),GLaM,2021-12-13,2021-12-13
99,m90,1.074688127879303,Llama-2-13b,Llama 2-13B,2023-07-18,2023-07-18
9,m107,1.065892158418024,Yi-6B,Yi 6B,2023-11-02,2023-11-02
11,m109,1.0433650901981797,falcon-40b,Falcon-40B,2023-03-15,2023-03-15
4,m102,1.006026684392125,LLaMA-13B,LLaMA-13B,2023-02-27,2023-02-27
94,m86,0.9825895866515492,text-davinci-001,InstructGPT 175B,2022-01-27,2022-01-27
97,m89,0.9590359381308429,Llama-2-7b,Llama 2-7B,2023-07-18,2023-07-18
95,m87,0.8964214426367911,gemma-2b,Gemma 2B,2024-02-21,2024-02-21
3,m101,0.8568942310212928,LLaMA-7B,LLaMA-7B,2023-02-24,2023-02-24
10,m108,0.8170859994137412,falcon-7b,Falcon-7B,2023-04-24,2023-04-24
107,m98,0.5801807526533833,phi-1_5,Phi-1.5,2023-09-11,2023-09-11
